Año,Relación Mujer-Hombre,Relación Hombre-Mujer,Índice de Envejecimiento,Dependencia Juvenil,Dependencia_Total
1985,1.02,0.98,22.53,48.52,56.06
1986,1.02,0.98,22.86,47.83,55.29
1987,1.02,0.98,23.24,47.27,54.69
1988,1.03,0.97,23.63,46.87,54.28
1989,1.03,0.97,23.99,46.64,54.08
1990,1.04,0.97,24.36,46.50,54.01
1991,1.04,0.96,24.84,46.34,53.96
1992,1.04,0.96,25.39,46.13,53.91
1993,1.05,0.95,26.15,45.60,53.55
1994,1.05,0.95,26.74,45.28,53.39
1995,1.06,0.95,27.38,44.89,53.17
1996,1.06,0.95,28.06,44.45,52.92
1997,1.06,0.94,28.74,44.03,52.68
1998,1.06,0.94,29.43,43.66,52.50
1999,1.07,0.94,30.09,43.35,52.36
2000,1.07,0.93,30.77,43.06,52.22
2001,1.07,0.93,31.61,42.73,52.07
2002,1.08,0.93,32.60,42.33,51.88
2003,1.08,0.93,33.75,41.86,51.61
2004,1.08,0.92,35.05,41.31,51.28
2005,1.08,0.92,36.70,40.62,50.88
2006,1.09,0.92,38.26,39.96,50.46
2007,1.09,0.92,39.95,39.31,50.08
2008,1.09,0.92,41.75,38.69,49.76
2009,1.10,0.91,43.66,38.10,49.49
2010,1.10,0.91,45.73,37.49,49.26
2011,1.10,0.91,48.06,36.86,49.03
2012,1.10,0.91,50.65,36.20,48.82
2013,1.11,0.90,53.33,35.61,48.69
2014,1.11,0.90,56.01,35.10,48.65
2015,1.11,0.90,58.74,34.62,48.63
2016,1.12,0.90,61.53,34.19,48.68
2017,1.12,0.89,64.36,33.83,48.84
2018,1.14,0.88,69.88,32.25,47.84
2019,1.14,0.88,73.14,31.90,48.09
2020,1.14,0.88,76.01,31.27,47.80
2021,1.14,0.88,78.79,30.79,47.70
2022,1.14,0.87,81.59,30.33,47.63
2023,1.15,0.87,84.83,29.87,47.64
2024,1.15,0.87,88.38,29.41,47.70
2025,1.15,0.87,92.11,28.94,47.79
2026,1.15,0.87,96.02,28.48,47.90
2027,1.15,0.87,100.09,28.01,48.05
2028,1.15,0.87,104.29,27.54,48.22
2029,1.16,0.86,108.65,27.05,48.40
2030,1.16,0.86,113.12,26.56,48.58
2031,1.16,0.86,117.71,26.05,48.75
2032,1.16,0.86,122.41,25.54,48.90
2033,1.16,0.86,127.25,25.01,49.01
2034,1.16,0.86,132.15,24.50,49.11
2035,1.16,0.86,137.17,24.00,49.20
